lower angle,upper angle,holding angle,system x,acceleration,ticks (50 tps),lower acceleration (shoulder),upper acceleration (elbow),
1.57079632679,0.0,0,7.50096164478e-16,8.76987682334e-10,1,0.0,0.0,
1.57079632679,0.0,0,7.50096164478e-16,0.0,2,0.0,0.0,
1.57079632679,0.0,0,7.50096164478e-16,0.0,3,0.0,0.0,
1.57079632679,0.0,0,7.50096164478e-16,0.0,4,0.0,0.0,
1.57079632679,0.0,0,7.50096164478e-16,0.0,5,0.0,0.0,
1.57079632679,0.0,0,7.50096164478e-16,0.0,6,0.0,0.0,
1.57079632679,0.0,0,7.50096164478e-16,0.0,7,1.09068210688e-16,2.12974404072e-16,
1.57079632679,0.0,0,7.50096164478e-16,0.0,8,2.18783872185e-16,4.27186243871e-16,
1.57079632679,0.0,0,7.50096164478e-16,0.0,9,3.29955914191e-16,6.44058759741e-16,
1.57079632679,0.0,0,7.50096164478e-16,0.0,10,4.43323915582e-16,8.64942664831e-16,
1.57079632679,0.0,0,7.50096164478e-16,0.0,11,5.59641497454e-16,1.09121391122e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,12,6.79681365613e-16,1.32428264996e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,13,8.04240260424e-16,1.56560138372e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,14,9.34144144891e-16,1.81667497241e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,15,2.28953429159e-15,3.19952084507e-16,
1.57079632679,0.0,0,7.50096164478e-16,0.0,16,-2.93740226438e-15,1.89106458222e-17,
1.57079632679,0.0,0,7.50096164478e-16,0.0,17,2.55695402799e-15,8.46770155282e-16,
1.57079632679,0.0,0,7.50096164478e-16,0.0,18,-2.65827907375e-15,5.54159235522e-16,
1.57079632679,0.0,0,7.50096164478e-16,0.0,19,2.83787123439e-15,1.38906902372e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,20,-1.15446186139e-15,-6.52239298067e-16,
1.57079632679,0.0,0,7.50096164478e-16,0.0,21,3.13448819648e-15,1.94866282263e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,22,-8.53284473922e-16,-8.14423237576e-17,
1.57079632679,0.0,0,7.50096164478e-16,0.0,23,-7.10546028601e-16,2.05295216607e-16,
1.57079632679,0.0,0,7.50096164478e-16,0.0,24,-5.58346542896e-16,4.96357283685e-16,
1.57079632679,0.0,0,7.50096164478e-16,0.0,25,-4.07412947932e-16,7.88848295344e-16,
1.57079632679,0.0,0,7.50096164478e-16,0.0,26,-2.56779334979e-16,1.08457952566e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,27,4.05200190824e-15,3.71391251899e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,28,7.837468806e-17,1.7185339235e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,29,2.41394543209e-16,2.05121564265e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,30,1.63947091529e-15,6.40613029712e-16,
1.57079632679,0.0,0,7.50096164478e-16,0.0,31,1.83007228078e-15,9.95425919833e-16,
1.57079632679,0.0,0,7.50096164478e-16,0.0,32,8.04942927193e-16,3.11869314959e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,33,2.22131468154e-15,1.74191817383e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,34,2.43870293459e-15,2.13702600944e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,35,-1.49380718875e-15,2.20111463981e-16,
1.57079632679,0.0,0,7.50096164478e-16,0.0,36,-1.28595684431e-15,6.25002212494e-16,
1.57079632679,0.0,0,7.50096164478e-16,0.0,37,3.08735166e-15,3.3637363931e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,38,-8.25799101816e-16,1.47397200646e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,39,6.13274829581e-16,1.50021499299e-16,
1.57079632679,0.0,0,7.50096164478e-16,0.0,40,-3.67202017525e-16,2.3506672005e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,41,1.08367817673e-15,1.04531287817e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,42,1.33030971289e-15,1.50589021962e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,43,1.57944243147e-15,1.97741874416e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,44,1.83738768083e-15,2.46242599811e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,45,2.10585011478e-15,2.96395780606e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,46,2.38658033867e-15,3.48515983664e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,47,-1.47603728454e-15,1.70078413633e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,48,4.1807631982e-15,2.81531495877e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,49,-8.67742055782e-16,2.82332174946e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,50,6.47728212348e-16,1.64575155871e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,51,9.7002403702e-16,2.24104758459e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,52,1.29464623768e-15,2.85036454685e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,53,1.62836070176e-15,3.47708867145e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,54,3.19264590215e-15,2.36603597805e-15,
1.57079632679,0.0,0,7.50096164478e-16,0.0,55,3.55777004198e-15,3.03251199413e-15,
