ticks (50 tps),lower angle,upper angle,holding angle,system x,acceleration,lower acceleration (shoulder),upper acceleration (elbow),,,,2645,0.640433625,2.596652269,0,0.386776147,5.19E-05,-0.032313652,-0.057495229
2703,0.827256636,2.034986496,0,-0.308200314,6.83E-05,-0.048636574,-0.084766373,,,,,,,,,,,
2704,0.825951533,2.037537575,0,-0.303279492,8.46E-05,-0.065254048,-0.127547443,,,,,,,,,,,
2705,0.824320451,2.040929079,0,-0.297421157,0.000100741,-0.08155106,-0.169574827,,,,,,,,,,,
2706,0.822370903,2.045143127,0,-0.290642966,0.000116518,-0.097480088,-0.210709214,,,,,,,,,,,
2707,0.820111589,2.050158978,0,-0.282964104,0.000131955,-0.112965524,-0.250783831,,,,,,,,,,,
2708,0.817552642,2.055952549,0,-0.274406387,0.000147006,-0.127948344,-0.289680839,,,,,,,,,,,
2709,0.814704971,2.062497616,0,-0.26499191,0.000161665,-0.142383233,-0.327255428,,,,,,,,,,,
2710,0.811580853,2.069765568,0,-0.254746833,0.000175867,-0.156203479,-0.363392115,,,,,,,,,,,
2711,0.8081937,2.077724457,0,-0.243698804,0.000189584,-0.169359118,-0.397947907,,,,,,,,,,,
2712,0.804557399,2.086341143,0,-0.231875974,0.000202806,-0.181815267,-0.430832446,,,,,,,,,,,
2713,0.800686912,2.095579624,0,-0.219308907,0.000215498,-0.193525165,-0.46192956,,,,,,,,,,,
2714,0.796597974,2.10540247,0,-0.206030879,0.000227611,-0.204447269,-0.491140604,,,,,,,,,,,
2715,0.792306856,2.11577034,0,-0.192076079,0.000239128,-0.214555264,-0.518389702,,,,,,,,,,,
2716,0.787830488,2.12664175,0,-0.177480452,0.000250019,-0.223816425,-0.543575764,,,,,,,,,,,
2717,0.783186273,2.137974501,0,-0.162282673,0.000260244,-0.232210398,-0.566643715,,,,,,,,,,,
2718,0.778391973,2.149724722,0,-0.146522577,0.000269778,-0.239716172,-0.587513447,,,,,,,,,,,
2719,0.773465709,2.161847591,0,-0.130242356,0.000278581,-0.246312648,-0.606141686,,,,,,,,,,,
2720,0.768425779,2.174297094,0,-0.113485527,0.000286632,-0.251996219,-0.622467875,,,,,,,,,,,
2721,0.763290719,2.187026262,0,-0.096297896,0.000293899,-0.256751716,-0.636454582,,,,,,,,,,,
2722,0.758079068,2.19998765,0,-0.078726933,0.000300351,-0.260583103,-0.648072004,,,,,,,,,,,
2723,0.752809302,2.213133335,0,-0.060821693,0.000305955,-0.263486087,-0.657297134,,,,,,,,,,,
2724,0.747500137,2.226415634,0,-0.042635384,0.000310645,-0.265459716,-0.66410774,,,,,,,,,,,
2725,0.742169813,2.239785194,0,-0.02421978,0.000314448,-0.266518414,-0.668486834,,,,,,,,,,,
2726,0.736836509,2.253193855,0,-0.005630384,0.000317305,-0.266665876,-0.670433998,,,,,,,,,,,
2727,0.731518225,2.266592979,0,0.013075635,0.000319185,-0.265914053,-0.669963598,,,,,,,,,,,
2728,0.726232485,2.279934406,0,0.03184017,0.000320067,-0.264286757,-0.667074859,,,,,,,,,,,
2729,0.720996753,2.293169975,0,0.050602227,0.000319911,-0.261786431,-0.661782146,,,,,,,,,,,
2730,0.715828137,2.306252241,0,0.069299043,0.000318683,-0.258433104,-0.654111922,,,,,,,,,,,
2731,0.710742668,2.319134235,0,0.087870009,0.000316428,-0.254271626,-0.644102693,,,,,,,,,,,
2732,0.705756859,2.331769705,0,0.106248494,0.000313041,-0.249291703,-0.631780326,,,,,,,,,,,
2733,0.700886206,2.344113588,0,0.12436953,0.000308545,-0.243537501,-0.617197514,,,,,,,,,,,
2734,0.69614555,2.356121302,0,0.142168441,0.000302951,-0.237033114,-0.600387454,,,,,,,,,,,
2735,0.691549436,2.367749929,0,0.159578667,0.000296234,-0.229802743,-0.581425667,,,,,,,,,,,
2736,0.68711193,2.378957033,0,0.176533552,0.000288386,-0.221876889,-0.560358047,,,,,,,,,,,
2737,0.682846383,2.389702082,0,0.192967164,0.000279423,-0.213280007,-0.537254989,,,,,,,,,,,
2738,0.678765313,2.399946213,0,0.208815345,0.000269377,-0.204054877,-0.512207091,,,,,,,,,,,
2739,0.674880938,2.409651518,0,0.224013761,0.000258245,-0.194219559,-0.485276043,,,,,,,,,,,
2740,0.671204702,2.418782473,0,0.238500112,0.00024606,-0.183813944,-0.456551671,,,,,,,,,,,
2741,0.667747394,2.427304983,0,0.252214305,0.000232865,-0.172865137,-0.42612052,,,,,,,,,,,
2742,0.664519147,2.435186863,0,0.265098727,0.0002187,-0.161412716,-0.394091994,,,,,,,,,,,
2743,0.661529318,2.442397594,0,0.277099268,0.000203626,-0.149490431,-0.360545218,,,,,,,,,,,
2744,0.65878673,2.448909998,0,0.288164346,0.000187686,-0.137132883,-0.325615346,,,,,,,,,,,
2745,0.65629919,2.454698086,0,0.29824793,0.000170979,-0.124374412,-0.289399654,,,,,,,,,,,
2746,0.654074148,2.459738255,0,0.307306748,0.000153548,-0.111251995,-0.252006412,,,,,,,,,,,
2747,0.652118162,2.464009523,0,0.315303042,0.000135491,-0.097800314,-0.213560164,,,,,,,,,,,
2748,0.650437073,2.467493296,0,0.322204162,0.000116892,-0.084054515,-0.174189284,,,,,,,,,,,
2749,0.649035827,2.470173359,0,0.32798365,9.79E-05,-0.070063159,-0.134013832,,,,,,,,,,,
2750,0.647918836,2.472036839,0,0.332619828,7.85E-05,-0.055850387,-0.09316501,,,,,,,,,,,
2751,0.647089557,2.473072052,0,0.336098084,5.89E-05,-0.041463993,-0.051765412,,,,,,,,,,,
2752,0.646551029,2.473270893,0,0.338408418,3.91E-05,-0.026924467,-0.009945599,,,,,,,,,,,
