lower angle,upper angle,system x,acceleration,holding angle,ticks (50 tps)
1.567360411,0.019687619,-0.061266317,0.000266178,0,169
1.56431631,0.026458818,-0.059521926,0.000296388,0,170
1.561117741,0.033556711,-0.057599206,0.000325505,0,171
1.557769861,0.040970441,-0.055504097,0.000353437,0,172
1.554278295,0.048688143,-0.053242987,0.000380086,0,173
1.550649119,0.05669703,-0.050822926,0.000405427,0,174
1.546888842,0.064983375,-0.048251341,0.000429299,0,175
1.543004385,0.073532633,-0.045536357,0.000451655,0,176
1.53900306,0.082329385,-0.042686331,0.000472467,0,177
1.534892553,0.091357462,-0.039710248,0.000491723,0,178
1.53068087,0.100600004,-0.036617402,0.000509331,0,179
1.526376349,0.11003945,-0.03341745,0.00052507,0,180
1.521987592,0.119657688,-0.0301204,0.000539146,0,181
1.517523472,0.129436031,-0.026736585,0.000551619,0,182
1.512993076,0.139355376,-0.02327676,0.000562162,0,183
1.508405672,0.149396151,-0.019751469,0.00057085,0,184
1.503770688,0.159538552,-0.016172019,0.00057765,0,185
1.499097676,0.169762403,-0.012549289,0.000582652,0,186
1.494396248,0.180047438,-0.008894444,0.000585838,0,187
1.489676111,0.190373212,-0.005218921,0.00058714,0,188
1.484946975,0.200719282,-0.001534186,0.000586637,0,189
1.480218493,0.211065203,0.002148899,0.000584402,0,190
1.475500324,0.22139062,0.005818971,0.000580392,0,191
1.470802003,0.231675401,0.009464918,0.000574663,0,192
1.466132955,0.241899624,0.013075862,0.000567252,0,193
1.461502464,0.252043605,0.016641367,0.000558237,0,194
1.456919626,0.26208809,0.02015097,0.000547693,0,195
1.452393354,0.27201429,0.02359403,0.000535551,0,196
1.447932289,0.281803787,0.026961182,0.000522036,0,197
1.443544851,0.291438758,0.030242638,0.000507085,0,198
1.43923916,0.300901949,0.033429244,0.000490836,0,199
1.435023041,0.31017673,0.036512171,0.000473314,0,200
1.430903987,0.319247127,0.039483125,0.000454652,0,201
1.426889152,0.328097939,0.042333908,0.000434853,0,202
1.422985331,0.336714625,0.045057221,0.000414084,0,203
1.419198961,0.345083475,0.04764574,0.000392371,0,204
1.415536062,0.353191584,0.050092993,0.000369748,0,205
1.412002281,0.361026764,0.052393284,0.000346447,0,206
1.408602909,0.368577868,0.054539829,0.000322271,0,207
1.405342744,0.375834435,0.056528214,0.000297586,0,208
1.402226181,0.382787049,0.058353488,0.000272306,0,209
1.399257214,0.389427006,0.060011844,0.000246616,0,210
1.396439419,0.395746738,0.061498667,0.000220445,0,211
1.393775926,0.401739269,0.062811644,0.000194066,0,212
1.391269417,0.407398939,0.063947105,0.000167308,0,213
1.388922186,0.412720591,0.064903431,0.000140478,0,214
1.386736051,0.417700231,0.065678777,0.000113543,0,215
1.384712429,0.42233485,0.066271094,8.65E-05,0,216
1.382852332,0.426622063,0.066679966,5.95E-05,0,217
1.381156267,0.430560708,0.066904815,3.26E-05,0,218
1.379624383,0.434150279,0.066946014,5.96E-06,0,219
1.378256382,0.437391341,0.066803825,-2.05E-05,0,220
1.377051593,0.440285295,0.066478737,-4.67E-05,0,221
1.376008869,0.442834437,0.065972406,-7.26E-05,0,222
1.375126706,0.445041835,0.065286838,-9.80E-05,0,223
1.374403209,0.446911573,0.064423538,-0.000123007,0,224
1.373836041,0.448448449,0.06338574,-0.00014743,0,225
1.373422519,0.449658185,0.062176098,-0.000171329,0,226
