lower angle,upper angle,systemdisplacement,horizontal displacement acceleration,ticks since start (50 ticks per second)
1.571228818,-0.000843525,-0.000869513,-7.74E-05,171
,,,,
1.571513967,-0.001400471,-0.001438618,-0.000100956,172
,,,,
1.57186778,-0.002090454,-0.002150416,-0.000125802,173
,,,,
1.57228835,-0.00290966,-0.003001569,-0.000149879,174
,,,,
1.572772817,-0.003853321,-0.003982064,-0.000172016,175
,,,,
1.573319749,-0.004915714,-0.005104416,-0.00019617,176
,,,,
1.573852376,-0.005949497,-0.006201732,-0.000191089,177
,,,,
1.574369268,-0.006948948,-0.007286529,-0.00018822,178
,,,,
1.574866609,-0.007907867,-0.008344621,-0.000182916,179
,,,,
1.575342015,-0.008820057,-0.009379346,-0.000178216,180
,,,,
1.575793103,-0.009680748,-0.010386531,-0.000172847,181
,,,,
1.576216535,-0.010483265,-0.011360335,-0.000166517,182
,,,,
1.576610402,-0.011223316,-0.012299924,-0.000160084,183
,,,,
1.576972322,-0.01189518,-0.013206132,-0.000153846,184
,,,,
1.577298955,-0.012494087,-0.014063107,-0.000144971,185
,,,,
1.577589349,-0.01301527,-0.014884198,-0.000138405,186
,,,,
1.577840642,-0.01345396,-0.015659393,-0.000130208,187
,,,,
1.578051404,-0.013806343,-0.016391197,-0.000122487,188
,,,,
1.578218774,-0.01406765,-0.017069596,-0.000113165,189
,,,,
1.578341798,-0.014235497,-0.017695426,-0.000104009,190
,,,,
1.578418569,-0.014305115,-0.018270356,-9.52E-05,191
,,,,
1.578447656,-0.01427412,-0.018789381,-8.57E-05,192
,,,,
1.578427629,-0.014139175,-0.0192525,-7.62E-05,193
,,,,
1.578357534,-0.013898373,-0.019658045,-6.65E-05,194
,,,,
1.57823594,-0.013549328,-0.020001011,-5.60E-05,195
,,,,
1.578062371,-0.013089657,-0.020288073,-4.67E-05,196
,,,,
1.577835874,-0.012518406,-0.020512556,-3.64E-05,197
,,,,
1.57755597,-0.011833668,-0.020678632,-2.69E-05,198
,,,,
1.577222184,-0.011035442,-0.020780459,-1.64E-05,199
,,,,
1.576834039,-0.010122299,-0.020819705,-6.30E-06,200
,,,,
1.576391534,-0.009094715,-0.020793867,4.14E-06,201
,,,,
1.575895147,-0.00795269,-0.020708784,1.36E-05,202
,,,,
1.575344876,-0.006696701,-0.020561952,2.33E-05,203
,,,,
1.574740724,-0.005327225,-0.020350864,3.34E-05,204
,,,,
1.574083642,-0.003845692,-0.020079691,4.28E-05,205
,,,,
1.573374585,-0.002254009,-0.019750098,5.19E-05,206
,,,,
1.57261403,-0.000553608,-0.019360414,6.11E-05,207
,,,,
1.57180293,0.001253816,-0.018913415,6.99E-05,208
,,,,
1.570942716,0.003164908,-0.018408999,7.86E-05,209
,,,,
1.570034399,0.005177223,-0.017846733,8.73E-05,210
,,,,
1.569079925,0.007287642,-0.017234061,9.48E-05,211
,,,,
1.568080662,0.009492771,-0.016569908,0.000102487,212
,,,,
1.567038352,0.011788929,-0.015856296,0.000109763,213
,,,,
1.565954865,0.014172162,-0.015095365,0.000116663,214
,,,,
1.564832196,0.016638258,-0.014289434,0.000123162,215
,,,,
1.563672456,0.019182755,-0.013440933,0.000129252,216
,,,,
1.562477867,0.021800956,-0.012552415,0.000134913,217
,,,,
1.561250757,0.024487944,-0.011626579,0.000140131,218
,,,,
1.559993549,0.027238602,-0.010666221,0.000144891,219
,,,,
1.558708757,0.030047614,-0.009674238,0.000149186,220
,,,,
1.557398977,0.03290949,-0.008653592,0.000153014,221
,,,,
1.556066877,0.035818599,-0.00760741,0.000156351,222
,,,,
1.554715195,0.038769152,-0.006538814,0.000159199,223
,,,,
1.553346722,0.041755252,-0.005451053,0.000161548,224
,,,,
1.551964301,0.044770885,-0.00434735,0.000163396,225
,,,,
1.550570821,0.047809958,-0.003231118,0.000164742,226
,,,,
1.549169189,0.050866313,-0.002105641,0.00016559,227
,,,,
1.547762343,0.053933747,-0.000974312,0.000165934,228
,,,,
1.546353239,0.057006013,0.000159436,0.000165752,229
,,,,
1.544944829,0.060076877,0.001292159,0.000165098,230
,,,,
1.543540065,0.063140087,0.002420553,0.000163958,231
,,,,
1.542141887,0.066189416,0.003541271,0.00016234,232
,,,,
1.540753207,0.06921874,0.0046508,0.000160231,233
,,,,
1.539376919,0.072221912,0.005745952,0.000157677,234
,,,,
1.538015858,0.075192958,0.006823365,0.000154673,235
,,,,
1.536672824,0.078125939,0.007879917,0.000151222,236
,,,,
1.535350562,0.081015058,0.0089124,0.000147336,237
,,,,
1.534051743,0.083854668,0.009917739,0.00014305,238
,,,,
1.532778976,0.08663924,0.010893006,0.000138355,239
,,,,
1.531534788,0.089363448,0.011835173,0.000133263,240
,,,,
1.530321603,0.092022151,0.012741559,0.000127818,241
,,,,
1.529141766,0.094610378,0.013609494,0.000122031,242
,,,,
1.52799751,0.097123422,0.014436352,0.000115905,243
,,,,
1.526890972,0.099556744,0.01521975,0.000109493,244
,,,,
1.525824164,0.101906091,0.015957366,0.000102793,245
,,,,
1.524798983,0.104167454,0.016647004,9.58E-05,246
,,,,
1.523817201,0.106337085,0.017286603,8.86E-05,247
,,,,
1.522880443,0.108411513,0.017874481,8.12E-05,248
,,,,
1.521990226,0.110387556,0.018408753,7.36E-05,249
,,,,
1.521147904,0.112262338,0.018887892,6.58E-05,250
,,,,
1.5203547,0.114033259,0.019310567,5.79E-05,251
,,,,
1.519611687,0.115698054,0.019675512,4.98E-05,252
,,,,
1.518919786,0.117254764,0.019981729,4.17E-05,253
,,,,
1.518279777,0.118701734,0.020228304,3.35E-05,254
,,,,
1.517692269,0.120037682,0.020414514,2.52E-05,255
,,,,
1.517157723,0.121261604,0.020539969,1.69E-05,256
,,,,
1.516676449,0.122372866,0.020604193,8.65E-06,257
,,,,
1.516248589,0.123371154,0.020607085,3.88E-07,258
,,,,
1.51587413,0.124256492,0.020548653,-7.82E-06,259
,,,,
1.515552905,0.125029221,0.020429143,-1.60E-05,260
,,,,
1.515284591,0.125690028,0.020248919,-2.40E-05,261
,,,,
1.515068703,0.126239941,0.020008507,-3.19E-05,262
,,,,
1.514904604,0.1266803,0.019708664,-3.97E-05,263
,,,,
1.514791505,0.127012774,0.0193503,-4.73E-05,264
,,,,
1.514728465,0.127239332,0.018934582,-5.47E-05,265
,,,,
1.514714402,0.127362281,0.018462663,-6.20E-05,266
,,,,
1.514748075,0.127384245,0.01793597,-6.90E-05,267
,,,,
1.514828124,0.1273081,0.017356061,-7.57E-05,268
,,,,
1.514953033,0.127137035,0.016724769,-8.22E-05,269
,,,,
1.515121163,0.126874536,0.01604387,-8.85E-05,270
,,,,
1.515330751,0.126524314,0.015315474,-9.44E-05,271
,,,,
1.515579899,0.126090392,0.014541736,-1.00E-04,272
,,,,
1.515866605,0.125577003,0.01372495,-0.000105237,273
,,,,
1.516188753,0.12498863,0.012867497,-0.000110177,274
,,,,
1.516544112,0.124329984,0.011971999,-0.000114756,275
,,,,
1.516930373,0.123605952,0.011041098,-0.000118969,276
,,,,
1.517345113,0.122821651,0.010077593,-0.000122815,277
,,,,
1.517785844,0.121982351,0.009084323,-0.000126282,278
,,,,
1.518249986,0.121093512,0.008064254,-0.000129344,279
,,,,
1.518734907,0.120160706,0.007020354,-0.000132014,280
,,,,
1.519237892,0.119189665,0.005955825,-0.000134266,281
,,,,
1.519756184,0.118186213,0.004873858,-0.000136103,282
,,,,
1.520286986,0.11715629,0.003777563,-0.000137536,283
,,,,
1.520827447,0.116105899,0.002670336,-0.000138542,284
,,,,
1.521374707,0.115041122,0.001555317,-0.000139151,285
,,,,
1.521925871,0.113968052,0.000435981,-0.000139324,286
,,,,
1.522478038,0.112892851,-0.000684458,-0.000139093,287
,,,,
1.523028304,0.111821651,-0.001802632,-0.00013845,288
,,,,
1.523573765,0.110760584,-0.002915125,-0.000137387,289
,,,,
1.52411154,0.10971576,-0.004018725,-0.00013593,290
,,,,
1.524638769,0.10869322,-0.005110094,-0.000134078,291
,,,,
1.525152613,0.107698955,-0.006185898,-0.000131826,292
,,,,
1.525650294,0.106738873,-0.007243099,-0.000129209,293
,,,,
1.526129053,0.105818778,-0.008278389,-0.00012622,294
,,,,
1.526586217,0.104944341,-0.009288758,-0.000122863,295
,,,,
1.527019159,0.104121111,-0.010271165,-0.000119156,296
,,,,
1.527425335,0.103354461,-0.011222633,-0.00011511,297
,,,,
1.527802275,0.102649637,-0.012140433,-0.000110766,298
,,,,
1.528147602,0.102011658,-0.013021806,-0.0001061,299
,,,,
1.528459021,0.101445362,-0.013864017,-0.000101126,300
,,,,
1.528734353,0.100955367,-0.014664612,-9.59E-05,301
,,,,
1.528971528,0.100546055,-0.015421209,-9.04E-05,302
,,,,
1.529168584,0.100221589,-0.01613166,-8.47E-05,303
,,,,
1.529323679,0.099985838,-0.016793668,-7.87E-05,304
,,,,
1.529435103,0.099842444,-0.017405405,-7.25E-05,305
,,,,
1.529501268,0.099794745,-0.017964946,-6.62E-05,306
,,,,
1.529520736,0.099845804,-0.018470742,-5.97E-05,307
,,,,
1.529492193,0.099998377,-0.018921148,-5.30E-05,308
,,,,
1.529414487,0.100254923,-0.01931496,-4.62E-05,309
,,,,
1.529286602,0.100617595,-0.019651015,-3.94E-05,310
,,,,
1.529107669,0.101088203,-0.019928175,-3.24E-05,311
,,,,
1.528876991,0.101668261,-0.020145835,-2.54E-05,312
,,,,
1.528594011,0.10235893,-0.020303242,-1.83E-05,313
,,,,
1.528258336,0.103161059,-0.020400051,-1.12E-05,314
