lower angle,upper angle,holding angle,system x,acceleration,ticks (50 tps),
1.58276112477,-0.0306234359741,0,0.0142005781631,-0.00028864488496,126,
1.58431084553,-0.0340142250061,0,0.0130171686744,-3.47648346714e-05,127,
1.59290106694,-0.0527501106262,0,0.00614243313267,-0.000182996663715,128,
1.60188563267,-0.0723218917847,0,-0.00118034222176,-0.000194892892833,129,
1.61078436772,-0.0917129516602,0,-0.00840698488255,-0.000191800200461,130,
1.61912568013,-0.109928131104,0,-0.0149846830519,-0.000174085829365,131,
1.62648423115,-0.126068115234,0,-0.0204227423481,-0.000143520229797,132,
1.632510976,-0.13939332962,0,-0.0243252953111,-0.000102710876152,133,
1.63695891301,-0.149379253387,0,-0.0264168452879,-5.48996210197e-05,134,
1.63969738881,-0.155748844147,0,-0.0265480091706,-3.433267338e-06,135,
1.64072115819,-0.158492088318,0,-0.0247045947723,4.81178533156e-05,136,
1.64015324513,-0.157865047455,0,-0.0210480446725,9.51845298117e-05,137,
1.6382292072,-0.154369354248,0,-0.0158307326836,0.000135440517575,138,
1.63528712193,-0.148717403412,0,-0.00945565191797,0.000165044133879,139,
1.63173706929,-0.141779899597,0,-0.00237772671955,0.000182757385145,140,
1.62803728978,-0.134524345398,0,0.0048660186895,0.000186534271321,141,
1.62465556065,-0.127941608429,0,0.011744419359,0.000176642379917,142,
1.62203820149,-0.122974395752,0,0.0177366813747,0.000153467553286,143,
1.62057335774,-0.120444774628,0,0.022401591989,0.000119146880148,144,
1.62056286732,-0.120991230011,0,0.0253915437839,7.61619837792e-05,145,
1.62219937245,-0.125020503998,0,0.026479767543,2.76472531536e-05,146,
1.625550584,-0.132677555084,0,0.025595115175,-2.24172807063e-05,147,
1.63055546681,-0.143833637238,0,0.0228062498833,-7.04831609893e-05,148,
1.63702805439,-0.158096790314,0,0.0183302968708,-0.000112818891709,149,
1.64467318455,-0.174843788147,0,0.0125084878178,-0.000146367689378,150,
1.65310986439,-0.193269252777,0,0.00577868094191,-0.000168749388943,151,
1.66189988057,-0.212447166443,0,-0.00135131375608,-0.000178332023241,152,
1.67058356205,-0.231405735016,0,-0.00834821034611,-0.000174540457747,153,
1.67871458928,-0.2491979599,0,-0.0147089326465,-0.000158253350847,154,
1.68589146534,-0.264973640442,0,-0.0199688989258,-0.000130525562795,155,
1.69178707997,-0.278037071228,0,-0.0237622442111,-9.38926835656e-05,156,
1.69616873662,-0.2878947258,0,-0.0258186714801,-5.07723336329e-05,157,
1.69891484181,-0.294284820557,0,-0.0260140460716,-4.81154493816e-06,158,
1.70001871983,-0.297193050385,0,-0.0243363639261,4.12128850719e-05,159,
1.69959004323,-0.296849250793,0,-0.0209212340864,8.36776195257e-05,160,
1.69784434239,-0.293712615967,0,-0.0160015486477,0.000120230809355,161,
1.69509156148,-0.288439750671,0,-0.00993392105377,0.000147913675365,162,
1.69171364705,-0.281840801239,0,-0.00315358490118,0.000164861748151,163,
1.68813832203,-0.274822235107,0,0.00384788748115,0.000169802446226,164,
1.68480856816,-0.26832485199,0,0.0105720116959,0.000162658204171,165,
1.68215210835,-0.263253211975,0,0.0165179218585,0.00014345162486,166,
1.68054755131,-0.260409832001,0,0.0212517095003,0.000113918524439,167,
1.68029578129,-0.260433673859,0,0.0244340621437,7.63887047653e-05,168,
1.68159802357,-0.263751506805,0,0.0258335477448,3.35084798716e-05,169,
1.68454058568,-0.270545482635,0,0.0253431970915,-1.17110483019e-05,170,
1.6890862743,-0.280739307404,0,0.0230130089325,-5.55124115223e-05,171,
1.69508011738,-0.294005393982,0,0.0190182239288,-9.49324111761e-05,172,
1.70225985447,-0.309791088104,0,0.0136692287847,-0.000126797170462,173,
1.71028025548,-0.327364444733,0,0.0073554150937,-0.000149295748235,174,
1.71873743931,-0.345871925354,0,0.000550728737095,-0.000160504594202,175,
1.72720272938,-0.364404201508,0,-0.00625475588814,-0.000160126262523,176,
1.73525317112,-0.38206243515,0,-0.0125811113436,-0.000148486341188,177,
1.7425020496,-0.398025512695,0,-0.0179810288788,-0.000126430135835,178,
1.74862606923,-0.411601543427,0,-0.0221037773588,-9.63011235088e-05,179,
1.75338251988,-0.422272205353,0,-0.0246761322779,-5.99394680355e-05,180,
1.75662405888,-0.429722309113,0,-0.0255307832595,-1.98659042737e-05,181,
1.75830729405,-0.433856010437,0,-0.0246283492034,2.09255510924e-05,182,
1.75849183003,-0.43480014801,0,-0.0220302915921,6.00969614334e-05,183,
1.75733788411,-0.432894229889,0,-0.0179219701392,9.48013477366e-05,184,
1.75509531895,-0.428669929504,0,-0.0125855982603,0.000122841076401,185,
1.75208695332,-0.422815799713,0,-0.00637939902717,0.000142519861632,186,
1.74868996541,-0.416134357452,0,0.000267432956051,0.000152271157826,187,
1.74531014363,-0.409488677979,0,0.00689180511657,0.000151391963898,188,
1.74235375325,-0.403743743896,0,0.0130352008348,0.000140063238446,189,
1.74019940297,-0.399703979492,0,0.0182620869705,0.000118882976185,190,
1.73917038838,-0.398056983948,0,0.0222037352129,8.9437119704e-05,191,
1.7395094196,-0.399318695068,0,0.0245804930413,5.38006313908e-05,192,
1.74136097828,-0.403796672821,0,0.0252251611283,1.45582763412e-05,193,
1.74476035038,-0.411566257477,0,0.0240925101939,-2.55176687592e-05,194,
1.74962885777,-0.422464847565,0,0.0212876899981,-6.30410661456e-05,195,
1.75578530232,-0.436107158661,0,0.0170080557992,-9.5962235039e-05,196,
1.76295741002,-0.451917648315,0,0.0115732626033,-0.000121577817594,197,
1.77080519597,-0.469174861908,0,0.00537348631148,-0.000138365392642,198,
