,,,,,,,,,,,2645,0.640433625,2.596652269,0,0.386776147,5.19E-05,-0.032313652,-0.057495229
2897,0.820810215,1.806289196,0,0.201053607,-7.88E-05,0.317780197,0.856377125,,,,,,,,,,,
2903,0.865083949,1.689860463,0,0.167829365,-9.55E-05,0.405316085,1.049793482,,,,,,,,,,,
2909,0.919715361,1.55122447,0,0.129391588,-0.000107575,0.490440309,1.228333831,,,,,,,,,,,
2915,0.984221892,1.392486334,0,0.086901712,-0.000117481,0.570203722,1.387174726,,,,,,,,,,,
2921,1.057647721,1.216515899,0,0.040814499,-0.000126478,0.639811993,1.518502116,,,,,,,,,,,
2927,1.138278321,1.027468085,0,-0.008346102,-0.000133268,0.691762805,1.609289885,,,,,,,,,,,
2933,1.223290728,0.831478596,0,-0.058947637,-0.000133801,0.71566999,1.640688896,,,,,,,,,,,
2939,1.308525906,0.637145638,0,-0.107403185,-0.000122455,0.700358927,1.591956019,,,,,,,,,,,
2945,1.388728739,0.455097765,0,-0.148222061,-9.53E-05,0.639061153,1.450692654,,,,,,,,,,,
2951,1.458508768,0.296132118,0,-0.175393891,-5.31E-05,0.535277367,1.224569678,,,,,,,,,,,
2957,1.513705594,0.168524146,0,-0.184397344,-2.02E-06,0.403701246,0.943431079,,,,,,,,,,,
2963,1.552396058,0.076011598,0,-0.173497581,5.02E-05,0.264797777,0.648826122,,,,,,,,,,,
2969,1.575110749,0.017325155,0,-0.143799783,9.66E-05,0.138280377,0.381165445,,,,,,,,,,,
2975,1.584477262,-0.013134003,0,-0.098634951,0.00013197,0.039811321,0.172977626,,,,,,,,,,,
2981,1.584677533,-0.024215698,0,-0.042910209,0.000153216,-0.019579167,0.047418185,,,,,,,,,,,
2987,1.580894307,-0.026874065,0,0.017385652,0.000157868,-0.033519763,0.017937947,,,,,,,,,,,
2993,1.578731851,-0.032958984,0,0.075811372,0.000145747,-0.000553272,0.087636076,,,,,,,,,,,
2999,1.583617047,-0.053944588,0,0.126096867,0.000117944,0.075727127,0.2489326,,,,,,,,,,,
3005,1.600160913,-0.099617481,0,0.163001824,7.81E-05,0.18645744,0.483481467,,,,,,,,,,,
3011,1.631697492,-0.177045345,0,0.18234231,2.93E-05,0.31922093,0.764864802,,,,,,,,,,,
3017,1.679629163,-0.289308071,0,0.182033011,-2.21E-05,0.455866337,1.055922747,,,,,,,,,,,
3023,1.74299796,-0.434660435,0,0.162680814,-6.86E-05,0.575953484,1.314956188,,,,,,,,,,,
3029,1.818490819,-0.606568336,0,0.127718952,-0.00010332,0.661315203,1.505120158,,,,,,,,,,,
3035,1.901166753,-0.795183659,0,0.082589133,-0.000122844,0.702437818,1.606837988,,,,,,,,,,,
3041,1.985728101,-0.989857197,0,0.032911609,-0.00012903,0.700877488,1.622332335,,,,,,,,,,,
3047,2.067637281,-1.181316853,0,-0.017153774,-0.000126605,0.665596724,1.568098783,,,,,,,,,,,
3053,2.143596963,-1.362567902,0,-0.065419933,-0.000120556,0.607186079,1.463490248,,,,,,,,,,,
3059,2.211466626,-1.528686523,0,-0.111067225,-0.000113221,0.534355819,1.323746324,,,,,,,,,,,
3065,2.26995881,-1.676188946,0,-0.153642039,-0.000104497,0.453055769,1.158623457,,,,,,,,,,,
3071,2.318337754,-1.802460194,0,-0.192098712,-9.21E-05,0.367068142,0.973885536,,,,,,,,,,,
3077,2.356221036,-1.905436039,0,-0.224325626,-7.32E-05,0.278823286,0.773578942,,,,,,,,,,,
3083,2.383469419,-1.983541489,0,-0.247176191,-4.56E-05,0.190173477,0.562037468,,,,,,,,,,,
3089,2.40016015,-2.035826683,0,-0.25711544,-9.36E-06,0.102932781,0.345258951,,,,,,,,,,,
3095,2.406607942,-2.062215328,0,-0.251163389,3.30E-05,0.019245606,0.131435573,,,,,,,,,,,
3101,2.403418855,-2.063756466,0,-0.227838181,7.69E-05,-0.05823563,-0.069279768,,,,,,,,,,,
3107,2.391556577,-2.042808056,0,-0.187694131,0.000117006,-0.126310095,-0.245586827,,,,,,,,,,,
3113,2.372404412,-2.003098965,0,-0.133292711,0.000148722,-0.181291848,-0.386124313,,,,,,,,,,,
3119,2.347810582,-1.949667454,0,-0.068717616,0.000168943,-0.219195977,-0.480422437,,,,,,,,,,,
3125,2.320101575,-1.888688087,0,0.001060127,0.000176126,-0.236105904,-0.519859731,,,,,,,,,,,
3131,2.29203637,-1.827188492,0,0.070706236,0.000169865,-0.228743702,-0.498550862,,,,,,,,,,,
