lower angle,upper angle,lower velocity,upper velocity,mills since start,
0.111616602493,-0.0493602907959,0.0736310778185,-0.0122718463031,17.4213256321,
-0.0499230622058,0.0821333836008,0.0736310778185,-0.0143171540203,33.3976096728,
0.0160998493292,0.0774515132001,0.0736310778185,-0.0122718463031,50.6961987152,
-7.19705138254e-18,-0.0334419314335,0.0736310778185,-0.0122718463031,66.7054120849,
3.03198513255e-16,8.50910712398e-17,0.0736310778185,-0.0122718463031,82.6739983604,
-2.44588280487e-16,-0.170420082585,0.0736310778185,-0.0143171540203,98.5934044692,
-7.19705138254e-18,0.0821333836008,0.0736310778185,-0.0143171540203,114.618868677,
0.172363092819,-0.137513222055,0.0756763855357,-0.0143171540203,130.559657467,
0.089293281994,0.0600617088546,0.0777216932529,-0.0163624617374,146.588542903,
-0.116351852295,-0.0486914521672,0.0756763855357,-0.0163624617374,162.575518284,
0.161404371847,0.110224606005,0.0777216932529,-0.0143171540203,178.606541989,
0.0332820414705,0.0329068605306,0.0797670009701,-0.0122718463031,194.630295581,
-0.0177233635473,-0.0175235720712,0.0797670009701,-0.0122718463031,211.069728496,
-7.38765566438e-16,8.50910712398e-17,0.0797670009701,-0.0122718463031,227.096475664,
-2.78215303455e-15,0.0113702566874,0.0797670009701,-0.0143171540203,242.556581782,
-1.05483650537e-15,-0.0929685693853,0.0797670009701,-0.0143171540203,258.583756604,
-2.78215303455e-15,0.0662150242384,0.0797670009701,-0.0143171540203,274.59382528,
-1.05483650537e-15,-0.121594862692,0.0797670009701,-0.0143171540203,290.46961072,
-1.05483650537e-15,0.0600617088546,0.0797670009701,-0.0163624617374,307.665990546,
-2.09486337882e-15,0.121728630418,0.0797670009701,-0.0143171540203,322.500867068,
-2.09486337882e-15,0.099121884769,0.0797670009701,-0.0143171540203,338.977078193,
-2.78215303455e-15,0.0153832884594,0.0797670009701,-0.0122718463031,354.438039619,
-2.78215303455e-15,-0.0220716747461,0.0797670009701,-0.0143171540203,370.442548798,
-1.05483650537e-15,0.0774515132001,0.0797670009701,-0.0122718463031,386.555681998,
-0.0459995695121,-0.0159183593624,0.0879482318388,-0.0122718463031,402.496898442,
-0.313338244088,0.0272886160498,0.0797670009701,-0.0143171540203,418.524500918,
-0.107963695502,0.0774515132001,0.0777216932529,-0.0122718463031,434.467000322,
0.0186704135078,-0.0159183593624,0.0777216932529,-0.0122718463031,450.478779613,
