lower angle,upper angle,lower velocity,upper velocity,mills since start,
0.0,0.170418859615,0.0,-0.114537232162,17.5846893161,
0.0,-0.0935029692864,0.0,-0.112491924445,34.7832074107,
0.0,-0.121727756868,0.0,-0.114537232162,50.8163693833,
0.0,-0.0394611959077,0.0,-0.114537232162,66.8409782833,
0.0,0.0929679022232,0.0,-0.114537232162,82.8318025472,
0.0,-0.0821327941943,0.0,-0.114537232162,98.7678871473,
0.0,0.121593990102,0.0,-0.114537232162,114.774534595,
0.0,-0.0486911027471,0.0,-0.114537232162,130.759799362,
0.0,-0.0329066243841,0.0,-0.116582539879,146.733517481,
0.0,0.203860551062,0.0,-0.114537232162,162.84066353,
0.0,-0.0935029692864,0.0,-0.112491924445,178.894352877,
0.0,0.0600612778392,0.0,-0.114537232162,194.813331332,
-0.16087672067,-0.0441430327103,-0.00409061543436,-0.112491924445,210.80586621,
0.161417937561,0.0441430327103,-0.00204530771718,-0.114537232162,226.717574554,
0.0171836362701,-0.0327728576183,0.0,-0.114537232162,242.722511387,
-0.0177248531605,-0.0599275110734,0.0,-0.116582539879,258.727448221,
0.0,0.174966929652,0.0,-0.112491924445,274.724259635,
0.0,-0.186872171807,0.0,-0.112491924445,290.699260715,
0.0,-0.0944393366469,0.0,-0.116582539879,307.126291674,
0.0,0.0334416914472,0.0,-0.116582539879,322.621465389,
0.0,-0.0159182451289,0.0,-0.116582539879,338.619132111,
0.0,0.170418859615,0.0,-0.114537232162,354.633477324,
-0.0345025767628,-0.0821327941944,0.00613592315154,-0.114537232162,370.620025052,
-0.235023434655,-0.0329066243841,0.0,-0.116582539879,386.617691774,
0.0483036074679,0.0334416914472,0.0,-0.116582539879,403.640016576,
-0.0483036074679,-0.0113701750921,0.0,-0.114537232162,418.568121587,
0.0,0.0929679022232,0.0,-0.114537232162,434.610691939,
0.0,-0.0775847241575,0.0,-0.112491924445,450.583982405,
0.0,0.0327728576183,0.0,-0.112491924445,466.562832367,
0.0,0.0599275110734,0.0,-0.110446616728,482.590007189,
0.0,-0.186337104744,0.0,-0.112491924445,498.600503519,
0.0,-0.0609976451997,0.0,-0.116582539879,514.569517448,
0.0,0.0334416914472,0.0,-0.116582539879,530.566328863,
0.0,0.154500614486,0.0,-0.114537232162,546.55629782,
0.0,-0.0821327941944,0.0,-0.114537232162,562.538569011,
0.0,0.126142060139,0.0,-0.112491924445,578.542650537,
0.0,-0.126142060139,0.0,-0.114537232162,594.521928153,
0.0,-0.0283585543472,0.0,-0.114537232162,610.489231468,
0.0,0.110491348542,0.0,-0.114537232162,626.566869417,
0.0,-0.0662145490655,0.0,-0.114537232162,642.521343123,
0.0,-0.060195044605,0.0,-0.114537232162,658.548945599,
0.0,-0.0440092659445,0.0,-0.116582539879,674.520953103,
0.0,0.0159182451289,0.0,-0.116582539879,690.507928484,
0.0,-0.0272884202209,0.0,-0.114537232162,706.454704425,
0.0,-0.0821327941944,0.0,-0.114537232162,722.430560812,
0.0,0.137512235231,0.0,-0.114537232162,738.439774182,
0.0,0.121727756868,0.0,-0.112491924445,754.417768837,
0.0,-0.115039418578,0.0,-0.114537232162,770.38250623,
0.0,0.000535067063157,0.0,-0.116582539879,786.391719599,
0.0,0.0675522167234,0.0,-0.122718463031,802.360733529,
0.0,0.232352872175,0.0,-0.116582539879,818.650915328,
0.0,0.111293949136,0.0,-0.112491924445,834.348369207,
0.0115008589209,-0.111829016199,-0.00204530771718,-0.114537232162,850.347746543,
-0.0825355757855,0.15343048036,-0.00409061543436,-0.114537232162,866.31761578,
-0.0155599855989,-0.064609347876,-0.00613592315154,-0.114537232162,882.484633336,
0.0338260556498,0.137512235231,-0.00613592315154,-0.114537232162,898.315087492,
1.63985094094e-16,0.121727756868,-0.00613592315154,-0.112491924445,914.322590247,
0.0115008589209,0.0440092659445,-0.00818123086872,-0.110446616728,930.296308366,
-0.0825355757855,-0.170418859615,-0.0102265385859,-0.112491924445,946.27772425,
-0.0155599855989,-0.0220715163552,-0.0122718463031,-0.112491924445,962.157358572,
-0.127050665021,0.0888211324838,-0.0163624617374,-0.112491924445,978.658373608,
-0.171836362701,-0.108886147352,-0.0204530771718,-0.112491924445,994.252762963,
0.0453269145707,-0.0769158903286,-0.0204530771718,-0.116582539879,1010.25727214,
-0.110137637196,0.219778796191,-0.0204530771718,-0.114537232162,1027.41302488,
-0.0939011304838,-0.109421214415,-0.0245436926062,-0.112491924445,1043.86485974,
-0.060075074834,-0.110357581776,-0.0306796157577,-0.116582539879,1059.25654128,
-0.18793756519,0.219778796191,-0.0327249234749,-0.114537232162,1074.22099685,
-0.060075074834,-0.0980510393232,-0.0368155389093,-0.114537232162,1090.1917214,
-0.127050665021,0.126142060139,-0.0409061543436,-0.112491924445,1106.16030767,
-0.176436706269,-0.137512235231,-0.0470420774952,-0.112491924445,1122.14642775,
-0.15411150954,-0.0944393366469,-0.0511326929295,-0.116582539879,1138.35278943,
-0.232452654425,0.0334416914472,-0.0572686160811,-0.116582539879,1154.21018577,
-0.204850593015,-0.0272884202209,-0.0654498469498,-0.114537232162,1170.20101003,
-0.314988230211,-0.0821327941943,-0.0736310778185,-0.114537232162,1186.16831335,
-0.248012640024,-0.0442767994761,-0.0818123086872,-0.114537232162,1202.13134013,
-0.187125739855,-0.0553794410366,-0.089993539556,-0.114537232162,1218.11874316,
-0.314988230211,0.108886147352,-0.0981747704247,-0.114537232162,1234.10443558,
